	GSM1449085	GSM1449086	GSM1449087	GSM1449088	GSM1449089	GSM1449090	GSM1449091	GSM1449092	GSM1449093	GSM1449094	GSM1449095	GSM1449096	GSM1449097	GSM1449098	GSM1449099	GSM1449100	GSM1449101	GSM1449102	GSM1449103	GSM1449104	GSM1449105	GSM1449106	GSM1449107	GSM1449108	GSM1449109	GSM1449110	GSM1449111	GSM1449112	GSM1449113	GSM1449114	GSM1449115	GSM1449116	GSM1449117	GSM1449118	GSM1449119	GSM1449120	GSM1449121	GSM1449122	GSM1449123	GSM1449124	GSM1449125	GSM1449126	GSM1449127	GSM1449128	GSM1449129	GSM1449130	GSM1449131	GSM1449132	GSM1449133	GSM1449134	GSM1449135	GSM1449136	GSM1449137	GSM1449138	GSM1449139	GSM1449140	GSM1449141	GSM1449142	GSM1449143	GSM1449144	GSM1449145	GSM1449146	GSM1449147	GSM1449148	GSM1449149	GSM1449150	GSM1449151	GSM1449152	GSM1449153	GSM1449154	GSM1449155	GSM1449156	GSM1449157	GSM1449158	GSM1449159	GSM1449160	GSM1449161	GSM1449162	GSM1449163	GSM1449164	GSM1449165	GSM1449166	GSM1449167	GSM1449168	GSM1449169	GSM1449170	GSM1449171	GSM1449172	GSM1449173	GSM1449174
Dnmt3b	5.075746218	5.036470535	12.03878483	11.31828463	10.76414825	10.28657174	5.768098929	5.10692599	3.365068636	6.305989308	12.57372025	11.4034231	13.60865214	14.56520462	7.003354976	7.771297838	8.761926903	6.587344371	5.528573291	8.04360157	5.43889133	6.220488046	4.298898752	5.725337869	5.984875831	3.040129039	6.993272585	7.410742865	1.481217634	5.266893513	6.026647798	5.897751096	5.202945115	5.702022613	7.382899652	8.687507853	6.603479663	6.33316869	0.0	3.26502197	4.962583821	3.290487459	6.489428575	7.167802326	0.0	7.880203023	6.227258719	6.862825862	4.44494422	0.0	4.100949518	3.897320347	5.407961393	4.968624314	0.0	2.24054753	0.0	0.0	4.348263156	5.123633884	3.875902309	5.848525829	0.0	4.168241963	1.45517807	3.404240582	2.888581564	3.578550153	5.177702278	4.741840572	0.0	3.803866994	6.032010293	0.0	4.08836582	4.44901094	5.143242468	0.0	5.392380236	5.401257361	4.100384152	5.611076686	5.318986613	4.503563146	7.638227435	2.754728928	5.781006194	2.920701897	4.563479424	6.113762674
Birc5	8.699792251	10.16814932	16.16887664	15.60298091	15.35843013	15.39428567	10.09927358	10.68151925	2.090280962	11.80400232	16.49749146	16.12426635	17.96614732	18.49772336	10.39456039	10.90055417	12.10008035	11.23923301	10.32816682	12.02337182	10.94973422	9.709435148	8.53516375	9.559474863	9.041587471	8.704620414	11.26149661	10.99937772	9.853127102	10.07444665	8.866368099	8.565087291	10.24477115	10.53000611	10.93029969	11.16414142	10.15694562	10.2952364	9.062872686	9.534315798	9.234511929	9.161744254	10.15994655	10.75704882	6.84407635	11.10863213	10.29389275	10.60788308	8.776113905	0.0	8.675927967	9.27222099	9.533418369	9.252890776	5.395370966	6.898643627	8.071929111	6.668189	8.127750841	7.626647492	7.897045002	7.724192952	8.852649889	8.555950432	7.741806395	7.787612879	6.888812439	6.627305323	7.571710345	7.509173526	6.717848934	6.485283484	7.062388738	6.965851539	8.068195224	8.091606767	7.702346285	8.068522469	7.948168534	7.883544849	8.230338501	8.968572228	8.435425283	8.532888664	9.895630965	8.181279622	6.877630342	7.301904492	8.467700218	8.44406715
Kdm3a	5.674653087	5.013288686	10.04392876	9.995067315	8.012900362	8.678012864	5.504753158	5.934513161	0.942190012	6.727062753	9.858914278	9.753998411	12.16416863	12.92486522	10.04492657	10.4999548	10.77632541	10.33563187	9.185378097	10.15291419	9.115172397	8.940986008	8.240908526	8.594574497	9.444814087	8.756454231	10.45153951	10.14063172	8.352400002	8.662929386	9.276043159	9.239870235	9.257661631	8.783124693	10.779743	11.32654845	9.346929349	9.603566435	7.706006893	9.142076779	8.477077581	8.399041615	10.06013436	11.1665203	7.057754924	11.38766245	11.55548674	11.87372752	8.158948782	0.0	7.906039623	8.592399686	7.604192698	7.902003107	6.249416742	6.904827672	6.881013024	5.59803237	6.016262282	7.06025492	5.118798769	5.909008586	6.122955414	7.336165171	7.683097347	7.8434156	6.976978881	6.562124698	6.784271085	5.088848984	6.656266285	6.333874152	7.346196153	5.825986586	7.395811667	8.074962979	7.526667842	7.776202599	7.042334359	7.624463008	7.299746937	7.242491236	7.277314943	7.703309112	9.024052783	7.432503496	6.40172562	5.439488884	6.347853625	7.430402184
Skil	2.881543229	3.07212664	2.083476615	2.65294727	3.967526953	0.0	4.176591533	1.535605282	3.545184928	1.41362874	0.0	4.361228763	5.40457693	7.242552523	0.0	6.57147411	4.205833432	3.138481757	0.540830327	5.202991708	1.280272064	0.0	0.0	0.372557157	3.674573111	2.385910902	3.723217933	4.972567986	0.0	1.421403341	0.0	0.0	1.861006671	3.012610171	1.264429616	4.324898905	3.351581961	0.0	0.0	0.0	4.831274707	0.0	3.598147251	2.522540583	0.516778897	1.716038131	2.152254347	5.57609133	0.0	0.0	0.0	0.0	2.157919327	2.553205441	0.0	0.0	0.0	0.628640304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048554383	0.0	2.188080987	0.0	1.495115519	0.0	0.390271658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.356958642	0.0	0.521111698	1.08738449	1.343381054	0.396078545	0.0	0.0	0.0	0.0	0.0
Gm13034	8.546433104	8.898417785	13.57992035	12.82649587	12.72473158	12.51548876	9.067180521	8.134103617	9.526284567	8.715157405	13.59534738	13.0722289	15.33849671	16.3522767	10.1737405	11.47814712	11.97740176	11.41741248	10.95088337	13.0085222	10.81197541	9.548177921	8.677605985	9.239849175	10.57715817	10.14701504	12.29725312	11.76054688	9.79126762	10.60909162	9.76018566	9.440388125	9.367580989	10.31960262	11.6333056	11.81278562	11.22284829	11.26962805	8.525169614	9.741062257	10.75568474	10.89121057	10.61571989	12.04586831	4.490362519	11.61081212	11.00390888	11.54365562	9.757556761	0.0	10.25006413	10.58167965	10.40420333	9.983822674	7.539758925	8.414190937	8.655435211	8.336635664	8.659993262	9.393930764	8.916857841	8.355331081	9.84052502	10.1140996	9.681754001	9.343201529	8.835892349	9.003434741	8.95599882	9.60083238	8.217831358	8.590692617	8.878129364	8.204016682	9.581887437	9.306128188	9.423035792	8.917845308	8.823601565	9.179767972	8.849014569	9.347534554	9.320432158	9.744379175	11.21155976	9.435314934	8.575589919	7.743469194	8.728957881	8.770640435
Jak2	13.94675173	12.84711347	16.12235154	15.26650103	15.24443509	15.25432606	13.55520003	13.01621762	6.175791507	13.50774206	16.0615531	15.8840498	17.80562418	18.41772008	11.27510397	11.50223484	12.59648692	11.88888986	10.91875565	13.31264451	10.73692816	10.16336048	8.589329636	8.967591603	9.850326127	9.718840574	12.79744802	11.47956702	10.78519069	10.61192754	9.060979673	8.930464371	10.02095662	11.15924518	12.24998397	13.02545395	10.77597415	11.00087955	8.722013258	9.918590409	10.51761566	10.53549527	10.9077504	12.21766136	4.786023821	11.92539402	12.66050148	12.63877066	8.081147565	0.0	9.144572995	9.331543476	9.664148393	9.450107308	6.968394764	7.711132898	7.836435795	6.172426837	7.935075291	9.099410355	7.999052307	7.502966535	6.775056496	8.23895532	7.929499207	7.531109003	7.361011735	7.533773236	8.010967995	5.910317484	7.377004212	8.115588088	8.290884303	6.247876287	7.379739984	7.738231688	7.841399811	7.530529325	7.561538179	8.187550186	8.188076318	8.000776053	9.072119447	8.347563697	10.40084754	8.541047351	8.258321553	6.04766593	7.494078773	7.948357218
Tead4	3.226642598	0.0	5.191357506	6.338755392	6.493730961	5.766093498	2.795789072	0.511345276	1.511893579	0.0	7.161040202	5.946948383	9.124137371	10.07199302	9.354995701	10.33602412	12.07668771	11.72061296	6.20555059	8.545902504	10.46133691	9.692480717	9.267244809	9.805169834	9.290684181	8.345126045	11.11673432	11.25324491	7.86342962	9.872580876	7.541126027	7.030361654	9.666454299	9.828155397	10.63535847	11.07873003	9.920610872	10.16103533	6.304901434	9.508141479	6.824371204	6.697428541	10.67054293	11.72094909	6.688706019	10.9734254	9.30658248	8.827039046	8.843299064	0.0	6.748373691	7.59013177	8.386981466	9.073092034	4.676439336	7.20519477	7.946568879	5.393168478	7.429579071	8.836833603	8.578505553	7.919149119	7.89327498	8.551898891	8.086190204	8.430768633	6.881020785	7.448837078	7.488775751	9.589768555	6.388881149	6.682989689	7.458380194	7.125085712	8.899597808	9.232236651	9.089447466	9.759219499	8.780901764	8.290722477	9.629909226	8.528546379	10.70834395	10.3280973	11.30939913	9.269474862	7.635013485	5.740660318	8.767379424	7.476671488
Kmt2a	5.971088871	3.296052851	6.427545213	8.174705394	4.874677188	4.524796508	1.109108088	4.990666218	0.89975951	4.723899805	7.900047532	5.968249946	9.563696987	9.977868675	0.0	5.70062925	2.188854367	3.432844477	0.0	3.844055556	0.0	0.0	0.0	3.604138007	4.117644521	0.0	5.026079343	5.271631886	1.972956827	4.291370324	0.0	3.384699772	3.639250381	4.628127677	4.153623017	4.443165783	0.0	4.064624623	0.0	0.0	2.163324265	4.099021611	3.13179951	0.0	0.0	3.384847119	4.352159797	6.270508095	0.0	0.0	3.122324347	0.0	0.0	3.420396631	0.0	0.0	0.0	1.364845173	0.0	0.0	3.42699218	0.0	0.042036984	0.0	0.0	3.849873441	0.781436761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10810462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trrap	7.344684716	7.246265857	13.17570312	12.24643234	11.38193988	12.05300288	5.573108719	6.531531154	1.295700222	7.971490719	12.93663066	12.40462564	14.07781659	14.74792913	9.414310607	8.425681363	10.91834993	10.47472504	6.467433584	10.17921668	10.09299971	8.040673272	7.128921756	7.867225481	6.101927529	5.886755658	11.00584724	11.07108091	8.040956954	8.15753854	7.403366145	6.760438197	8.15856566	8.377613888	9.820554414	11.57240302	9.153786643	8.431726688	5.965606168	7.542675083	8.203432441	7.395765248	9.319253835	10.69081016	3.268525011	10.34533929	9.507186258	9.504249105	6.564498053	0.0	6.424636827	6.986851977	7.646747013	6.644613253	5.530495337	5.404022219	6.027680392	4.179093655	6.581442419	7.42426535	6.327386107	5.450119513	6.583421898	6.631430579	7.476138208	7.202055831	6.376392116	6.154859016	7.316440277	7.103632449	5.883969813	4.802320796	6.010621633	5.476357837	6.794687022	7.89177214	6.645685912	6.706768601	7.127885721	6.5511819	6.739275334	6.795002236	6.287250022	8.058718442	8.650532319	7.48191405	4.960728133	0.0	6.621702692	5.700248426
Nasp	7.510697183	7.686310022	15.06750508	14.29886796	14.21088739	14.31784893	8.819032315	8.968649252	5.310809202	7.800014368	15.36917353	14.94787174	17.41904105	18.1848673	11.89740533	11.80759293	12.89199261	12.80936705	11.59074109	12.46078676	11.62984452	10.11948807	10.07493249	10.11588961	9.344656386	9.808784248	11.84609008	11.46269727	9.80679575	10.19325674	9.944825052	9.452170199	9.511878613	10.55354224	12.28208852	12.04169342	10.16865347	10.60418054	8.548162435	10.05057511	8.507982083	7.885409075	11.39213518	12.30444884	8.767140575	12.90074395	11.64002755	12.19854715	9.781687869	0.0	9.300996068	9.706042921	10.02158917	10.1921435	8.163111287	7.961847156	8.613261048	9.198738268	9.645005511	9.915713355	9.31676461	9.336545268	10.02724103	9.497550991	9.988440597	9.955902958	8.818582215	9.361107585	9.198539649	9.31491386	8.50678825	8.520270081	9.193804659	8.22128506	10.13826357	10.06742135	9.796042966	10.27654194	9.433182806	9.367314698	8.971041784	10.61468609	10.69196208	10.76634666	11.43515403	10.07508839	8.729552488	7.523131063	8.85971803	8.756009286
Speg	4.999998007	4.362671466	7.069683851	6.336957335	6.373593277	5.817394083	3.735141322	4.363530658	4.47476239	6.269591221	7.740931812	6.414212132	8.327963563	9.516336122	0.0	6.927016598	3.728750334	0.0	2.686526599	6.589755755	1.885543434	0.0	0.0	4.378105605	0.0	0.0	3.875727125	1.59205963	4.852570021	1.125143082	0.0	1.490524344	0.0	2.896304234	0.0	5.68392906	1.034525735	5.186097423	0.0	0.0	0.0	0.0	0.0	2.049541911	0.0	0.038401913	0.0	4.079255932	0.0	0.0	0.658725432	3.586077064	0.0	0.094680099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.478636732	2.408526774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.095140324	0.0	0.0	0.0	0.0	0.0
Odf2	9.386352819	10.00582142	15.35268586	14.62335875	14.01357143	14.26749792	10.35852833	10.07819007	1.650950653	11.20615541	15.69482938	15.01783813	16.86348961	17.43474674	8.271745624	8.083604103	8.986637813	8.59426638	8.252034203	10.61882076	7.6197907	5.855627355	4.449128653	4.699248295	7.634452055	4.853103914	9.489342511	8.543322544	8.198107593	7.504798377	6.526407123	6.635919913	7.233633081	8.184170955	8.355580379	9.414797121	7.70852452	7.509678188	5.886554698	7.777079385	7.016346856	7.430696381	8.364726394	9.309984665	4.309063159	9.753801229	9.826320821	10.19855921	6.106191931	0.0	5.847862053	6.640284547	6.207645971	6.352801348	4.900076961	4.217123292	4.644388149	3.34471434	4.477579279	4.057663092	5.127884263	5.86208489	5.462995339	6.141536285	4.971432328	7.037633868	3.011623605	5.481541372	5.245714669	5.86126697	5.490801549	3.707976034	3.979746974	2.664530752	4.238064064	4.226123358	3.627137852	4.39122349	5.040818086	3.128711397	4.824553318	3.979585787	5.782976357	4.950687755	6.532934698	5.957425665	4.690498166	4.119818744	4.055190515	0.0
Kit	10.44381581	11.20131378	17.24153139	16.6654716	15.89050292	16.14360816	10.145671	11.02548129	3.141677012	11.97319284	17.47679336	16.7862139	18.24822516	18.7212839	10.6535215	10.65698874	12.1905026	11.60319204	9.877671095	12.27116973	10.16093774	10.20578105	7.796145818	9.200106726	8.805026935	7.839394681	12.08855353	11.30521292	10.10559354	10.3013701	8.961491498	9.373179593	9.31450756	10.61734018	11.10403687	12.06574437	10.94750958	11.32590043	8.341908885	9.375211008	9.539467924	9.490594282	10.51851917	12.06478281	0.0	11.39921358	12.180997	12.04783798	7.831703762	0.0	8.26465323	8.166555901	8.955599576	8.720043509	6.836532809	6.781240223	7.760361531	6.396736891	5.510465182	7.947638126	6.45947247	5.479382391	5.897511735	7.035909261	5.656869864	7.059146753	5.000625064	5.557224389	8.04991854	7.565132898	6.28813891	6.244173836	6.502424063	5.569357048	6.198992534	7.375349722	7.194952295	7.131508096	7.631877583	7.573206768	7.514278919	6.592110414	7.256939016	6.521353049	9.853864227	6.7995692	6.353860855	5.578154526	7.25903661	6.55824702
