GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
HLA-DRB1_HLA-DRB5,CD8B_LAG3,RPL10_RPL5,KLRG1_LAG3
KLRG1_LAG3,KLRG1_LAG3,RPL13_RPS13,CD8B_LAG3
HLA-DQA1_HLA-DQA2,CD8A_LAG3,B2M_RPSA,CDA_CFD
CD8A_LAG3,HLA-DRB1_HLA-DRB5,RPL10A_RPL3,CD14_CDA
CD8B_LAG3,RPS11_TIGIT,RPL36_RPS11,CD14_MS4A6A
GZMK_LAG3,GZMK_LAG3,RPL13A_RPLP2,CD8A_LAG3
RPS11_TIGIT,CD74_HLA-DRA,RPL23A_RPS18,AC092580.4_CD8B
HLA-DMB_SAMD3,AC092580.4_LAG3,CD3E_SPIB,CD14_CFD
RPS4X_SH2D1A,CD2_LAG3,RPL32_RPS20,GZMA_LAG3
APMAP_LAG3,GZMA_LAG3,CD37_RPL3,GZMA_KLRG1
AC092580.4_LAG3,CD74_HLA-DRB1,RPL10A_RPS12,AC092580.4_LAG3
CDA_CFD,APMAP_LAG3,RPS25_RPS3,CD8B_KLRG1
CD74_HLA-DRA,CCL4_GZMA,RPL10A_RPL11,CDA_CFP
GZMA_LAG3,HOPX_LAG3,RPL30_RPS6,GZMK_LAG3
CD2_MATK,CD37_FGFBP2,CCR7_CD3E,BRI3_CDA
CD74_HLA-DRB1,CD8B_GZMA,RPL13_RPS27,CST7_GZMA
CCL5_GZMM,CD68_CDA,RPL30_RPS3A,LAG3_SH2D2A
CD247_CEBPD,BLVRB_GZMA,RPL27A_RPS20,CDA_FCER1G
CD37_FGFBP2,APMAP_GZMA,CCR7_SPIB,FCRL6_GZMM
IL7R_SH2D2A,CDA_CFD,EEF1A1_RPS10,CD8B_GZMK
CD79B_SAMD3,HLA-DPA1_HLA-DRB1,HLA-A_RPS12,CD8B_GZMA
CYBA_MATK,HLA-DRB5_LGALS2,CD3D_SPIB,BRI3_LGALS3
MATK_NKG7,HLA-DPA1_LGALS2,S100A8_SPIB,BRI3_CD14
CD74_HLA-DPA1,HLA-DRA_HLA-DRB1,CD72_FCRLA,CFD_LGALS3
CFP_HLA-DRA,RPS27A_TCL1A,CYB561A3_SPIB,CD8A_CD8B
CFP_TIGIT,CD79A_MS4A6A,CD3E_S100A8,BRI3_CFD
RPS18_SH2D2A,IL7R_LAG3,RPL18A_RPS15A,CDA_LGALS2
B2M_FCER2,B2M_FCER2,CD3D_S100A8,CD14_LGALS2
CCL4_GZMA,AIF1_CFD,CCR7_S100A8,CFD_CFP
CD3D_CD8B,C12orf75_CD14,CD79A_HLA-DQA1,LAG3_MATK
LGALS2_TYROBP,CTSW_GZMA,B2M_RPL13,FCRL6_FGFBP2
OAZ1_TSPO,FCER1G_TYROBP,RPL11_RPL30,FCRL6_TIGIT
CDA_FCER1G,CD74_HLA-DPA1,RPS29_RPS4X,LYAR_SH2D2A
FTL_GZMM,CFP_HLA-DRA,RPL32_RPL9,FCRL6_PRF1
CD8B_GZMA,CST7_GZMA,MALAT1_RPS25,AC092580.4_GZMK
CD2_LAG3,CST7_LAG3,RPL11_RPS27,GZMM_PRF1
SAMD3_SH2D1A,PDLIM1_RPS3,RPL3_RPS3A,GZMA_MATK
C12orf75_CD14,LGALS2_TYROBP,HLA-DQA1_HLA-DQA2,CDA_LGALS3
CCL5_CD8B,RPL13_RPL32,RPL36_RPS4X,CD68_CDA
KIAA0125_SH2D2A,CD79B_LGALS2,CD3D_CD3E,HLA-DRB1_HLA-DRB5
CD68_CFD,BLK_CD247,C12orf75_FCRLA,CCL4_GZMA
CD14_CFD,CXCR4_TCL1A,C12orf75_CD72,CFD_MS4A6A
AIF1_CDA,HLA-DPA1_HLA-DRB5,CD2_LYAR,GZMA_GZMM
CFD_CST3,CFP_HLA-DRB1,CCR7_CD3D,FCRL6_GZMH
HOPX_LAG3,BRI3_CDA,RPS15A_RPS27A,CFD_LGALS2
CFD_TYROBP,RPL21_RPS27A,HLA-A_HLA-B,CD74_HLA-DRA
HLA-B_HLA-C,AIF1_HLA-DRA,RPL9_RPS4X,CD8A_KLRG1
BLVRB_SH2D1A,CTSW_LAG3,ARPC5L_RARRES3,GZMA_GZMK
CDA_CST3,RPS10_TIGIT,HLA-DRB1_HLA-DRB5,AIF1_CFD
BANK1_MATK,HLA-DQA1_HLA-DQA2,RPL10A_RPL32,CD14_SERPINA1
CDA_CFP,FCRL6_HLA-DRA,HLA-B_HLA-C,FCRL6_GZMA
CDA_TYROBP,COTL1_TCL1A,CD3E_CYB561A3,AIF1_CD14
CD74_HLA-DQB1,CD8A_GZMA,RPS27_RPS3A,CD68_CFD
APMAP_GZMA,CD14_CDA,CD3E_MARCH1,CDA_MS4A6A
B2M_HCST,CFP_TIGIT,RPL35A_RPL9,CD14_HLA-DRA
FCRL6_HLA-DRA,CHST12_TIGIT,CCR7_CYB561A3,BRI3_CD68
CD68_CFP,CCL5_LAG3,RPL23A_RPS3,CFD_SERPINA1
CD8B_GZMK,CD74_HLA-DRB5,CD3D_LCK,LAG3_LYAR
CFD_LGALS3,CEBPD_CFD,AC092580.4_LYAR,FGFBP2_PRF1
CFD_FCN1,CD14_CFD,RPL32_RPS3A,CD14_LGALS3
AIF1_CFD,LGALS2_LST1,CD247_SH2D1A,CD14_CFP
CHST12_DUSP2,CD37_TCL1A,RPL18A_RPLP2,CST7_KLRG1
CST7_GZMA,HLA-DQB1_TIGIT,EEF1A1_RPL18A,AIF1_CDA
CDA_HLA-DRA,LGALS3_S100A11,AC092580.4_CD2,CFD_FCER1G
LCK_MS4A6A,AC092580.4_CD37,CCR7_LCK,FGFBP2_GZMH
CD14_MS4A6A,RPSA_TYROBP,LYAR_NCR3,CST7_FGFBP2
HLA-DRA_HLA-DRB1,CDA_HLA-DRA,AC092580.4_MARCH1,FGFBP2_GZMM
CD8A_GZMA,CD68_CD74,NOSIP_RARRES3,SH2D1A_TIGIT
RPL30_RPS27,CD247_CEBPD,RPL3_RPS3,CD8A_GZMA
BRI3_HLA-DRA,HLA-A_TCL1A,HLA-C_RPL35A,AC092580.4_MS4A6A
LGALS2_LST1,CFP_GZMA,RPL23A_RPS10,AC092580.4_KLRG1
