GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
HLA-DQA1_HLA-DQA2,S100A8_S100A9,S100A8_S100A9,FCRLA_TSPAN13
S100A8_S100A9,BLK_TSPAN13,HLA-DPA1_HLA-DRA,BLK_TSPAN13
HLA-DRB1_HLA-DRB5,HLA-DRB1_HLA-DRB5,RPL10_RPL13A,CD72_FCRLA
FGFBP2_PKIG,FCRLA_TSPAN13,HLA-DRA_HLA-DRB1,BLK_KIAA0125
FCRLA_TSPAN13,CST7_TSPAN13,HLA-DRB1_HLA-DRB5,CD72_TSPAN13
BLK_TSPAN13,CD72_TSPAN13,RPL32_RPS12,KIAA0125_TSPAN13
CST7_TSPAN13,HLA-DQA1_HLA-DQA2,RPS15A_RPS27A,BLK_FCRLA
RPL13_SPIB,LYZ_S100A9,RPL13_RPL13A,PKIG_TSPAN13
LYZ_S100A9,P2RX5_TSPAN13,HLA-DPA1_HLA-DPB1,LAG3_NCR3
FCER2_TSPAN13,FCER2_TSPAN13,RPS27A_RPS3A,FCRLA_PKIG
CD72_TSPAN13,HLA-DPA1_HLA-DPB1,RPS15A_RPS3A,TCL1A_TSPAN13
LYZ_S100A8,HLA-DPB1_HLA-DRA,RPL30_RPS27A,CD72_PKIG
CD37_VPREB3,PKIG_TSPAN13,HLA-DPB1_HLA-DRA,LINC00926_VPREB3
HLA-DPB1_HLA-DRA,RPS27A_RPS3A,RPS12_RPS18,FCRL6_FGFBP2
HLA-DPA1_HLA-DPB1,CHST12_S100A4,EEF1A1_RPS12,FCRL6_TIGIT
CHST12_FTL,AIF1_FTH1,HLA-DPA1_S100A8,FCRLA_TCL1A
HLA-C_PKIG,TCL1A_TSPAN13,HLA-DPA1_S100A9,FCRLA_KIAA0125
RPS27A_RPS3A,HLA-C_PKIG,RPL10_RPL27A,TCL1A_VPREB3
PKIG_TSPAN13,HLA-DPA1_S100A9,IL32_IRF8,LINC00926_PKIG
P2RX5_TSPAN13,HLA-DPB1_S100A9,RPL13_RPL32,FCRL6_PKIG
CHST12_S100A4,CD37_VPREB3,EAF2_ISG20,BLK_CD72
TCL1A_TSPAN13,CTSW_TSPAN13,CD247_CD40,BLK_PKIG
TIGIT_TYROBP,LYZ_S100A8,CD40_SH2D1A,LINC00926_TSPAN13
LINC00926_TCL1A,RPS15A_RPS3A,IRF8_ISG20,FCER2_TSPAN13
HLA-DPB1_S100A8,S100A4_S100A6,RPL21_RPS3A,FCRL6_TSPAN13
HLA-DPA1_S100A9,HLA-DPA1_S100A8,LYZ_S100A9,KIAA0125_LAG3
HLA-DPB1_S100A9,LINC00926_TSPAN13,CD40_IRF8,FCRL6_FCRLA
LINC00926_VPREB3,C12orf75_TSPAN13,RPS18_RPS4X,FCRL6_TCL1A
HLA-DPA1_S100A8,RPL13_RPL32,RPS15A_RPS27,LINC00926_TCL1A
FCRL6_FTL,CHST12_FTL,CD3D_LCK,HOPX_KIAA0125
CTSS_PDLIM1,HLA-DPA1_HLA-DRA,IL32_ISG20,BLK_TCL1A
RPS15A_RPS3A,FGFBP2_PKIG,CD40_IL32,TSPAN13_VPREB3
FCER1G_PNOC,CTSW_MATK,IRF8_SH2D1A,FCRL6_VPREB3
HLA-DPA1_HLA-DRA,HLA-DPB1_S100A8,RPS12_RPS3,FGFBP2_PKIG
C12orf75_TSPAN13,CD74_HLA-DPA1,CD247_SH2D1A,CD72_FCRL6
CCL5_CD8B,S100A6_S100A9,IL32_SH2D1A,PKIG_TCL1A
TCL1A_VPREB3,CHST12_LST1,RPL13A_RPL32,CST7_TSPAN13
LINC00926_TSPAN13,TIGIT_TYROBP,RPS14_RPS3,CD72_TCL1A
FCER2_GZMA,RPL10_RPL13A,EAF2_IRF8,KIAA0125_MATK
RPL10_TIGIT,PRF1_TSPAN13,RPL3_RPS3,BLK_FCER2
APMAP_CD72,HLA-DRA_HLA-DRB1,CD247_IL32,GZMK_LAG3
CD74_HLA-DRA,CCL5_CD8B,CD247_IRF8,PKIG_VPREB3
RPL32_SH2D1A,FCRL6_S100A4,HLA-DPB1_S100A8,BLK_MATK
CHST12_TYROBP,LINC00926_TCL1A,LYZ_S100A8,GZMA_KIAA0125
CD74_HLA-DPA1,FCN1_LYZ,EAF2_IL32,CST7_FCRLA
MS4A1_TSPAN13,CD74_HLA-DPB1,RPL13_RPL3,MATK_TSPAN13
GZMH_S100A4,CD74_HLA-DRA,GPX1_S100A9,GZMA_TSPAN13
CHST12_CST3,GNG7_TSPAN13,CD40_ISG20,FCRLA_VPREB3
FCRL6_S100A4,GRN_GZMK,RPL10_RPS3,KIAA0125_PKIG
