GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
AP001189.4_SERPINF1,GP1BA_ZAP70,GNG11_LY6G6F,AP001189.4_TREML1
GNG11_LY6G6F,EAF2_ZAP70,AP001189.4_TREML1,TMEM40_TREML1
CLEC10A_TMEM40,NRGN_ZAP70,CLEC10A_TREML1,CLEC10A_SERPINF1
CLEC10A_TREML1,EAF2_NRGN,CLEC10A_TMEM40,AP001189.4_TMEM40
CCL5_NKG7,GP1BA_NRGN,SERPINF1_TREML1,GP9_TMEM40
SERPINF1_TREML1,EAF2_GP1BA,AP001189.4_SERPINF1,ITGA2B_TMEM40
SPARC_TREML1,PGRMC1_S100A8,SPARC_TMEM40,GNG11_LY6G6F
AP001189.4_TREML1,JAKMIP1_SWAP70,HLA-DOB_TREML1,CLDN5_PTCRA
PKIG_SERPINF1,LDLRAP1_TSC22D1,TMEM40_TREML1,GP9_ITGA2B
TMEM40_TREML1,CCL3_TUBB1,ITGA2B_TMEM40,GP9_LY6G6F
BLNK_C2orf88,IRF8_ZAP70,CD9_LY6G6F,LY6G6F_SEPT5
CD72_SERPINF1,FOLR3_S100A8,CLU_TMEM40,GP9_TREML1
C5orf56_RAMP1,FOLR3_MMD,BLNK_C2orf88,ITGA2B_TREML1
SPARC_TMEM40,LAT2_LDLRAP1,ACRBP_C2orf88,GNG11_GP9
CD1C_TMEM40,MMD_SWAP70,CD72_SERPINF1,SEPT5_XCL1
CD9_LY6G6F,CLDN5_LAT2,CA2_LY6G6F,AC147651.3_CLEC1B
ITGA2B_TMEM40,JAKMIP1_MMD,CD1C_TMEM40,CD1C_CLEC10A
GNG11_IFI30,MS4A6A_RGS18,CLEC10A_SERPINF1,LY6G6F_TMEM40
CLDN5_S100A12,FOLR3_PGRMC1,PKIG_TREML1,ASGR1_PTGS1
ADAM28_ASGR1,MMD_S100A8,CD1C_TREML1,CLEC10A_ENHO
PTCRA_S100A12,LDLRAP1_PTCRA,APOBEC3A_LY6G6F,CLEC10A_PLD4
CLEC10A_SERPINF1,FCER1A_MFSD1,PTGDR_TREML1,LY6G6F_XCL1
CCL5_XCL1,FCGR2B_SPIB,ARHGAP24_SERPINF1,AP001189.4_PF4
FCER1A_SEPT5,CLDN5_LDLRAP1,PARVB_TREML1,IFI30_PHACTR1
FCRL6_LY6G6F,IRF8_PRR5,SPARC_TREML1,AP001189.4_ITGA2B
CD9_IFI30,IL1B_PTGS1,PKIG_SERPINF1,ITGA2B_LY6G6F
LGALS1_MYL9,GP1BA_IRF8,GP9_LY6G6F,AP001189.4_GP9
PARVB_TREML1,FOLR3_SWAP70,PARVB_TMEM40,AP001189.4_ARHGAP24
XCL1_XCL2,SPIB_SWAP70,AP001189.4_TMEM40,IFI30_MAFB
PARVB_TMEM40,CCL3_PGRMC1,HLA-DOB_TMEM40,GNG11_TMEM40
KIAA0125_LINC00926,JAKMIP1_SPIB,ENHO_TMEM40,ASGR1_IGSF6
CCL5_KLRC1,FOLR3_JAKMIP1,FCRL6_LY6G6F,ENHO_SERPINF1
ARHGAP24_SERPINF1,F13A1_IL1B,SERPINF1_TMEM40,AP001189.4_LINC00926
GAS2L1_PNOC,SNCA_TUBB1,GSN_TREML1,ASGR1_PLBD1
NRGN_S100A12,FCGR2B_S100A8,MAP3K7CL_TMEM40,PLD4_SERPINF1
CCL5_LYAR,CCL3_PRR5,CCL5_NKG7,GP9_RAMP1
MAP3K7CL_TMEM40,F13A1_PTGS1,IFI30_LY6G6F,CD1C_SERPINF1
IFI30_SEPT5,CMTM5_LGALS2,MZB1_SERPINF1,ASGR1_MAFB
MZB1_SERPINF1,CCL3_FOLR3,PARVB_SERPINF1,ASGR1_IFI30
PKIG_TREML1,PRR5_TUBB1,FCER1A_TMEM40,AP001189.4_S1PR5
AC147651.3_FOLR3,CLDN5_PTCRA,CD72_TREML1,C2orf88_CLEC1B
CD1C_TREML1,MMD_PGRMC1,AKR1C3_TMEM40,ENHO_IFI30
SERPINF1_TMEM40,LAT2_PTCRA,LINC00926_SERPINF1,CLDN5_CLEC1B
IL32_JAKMIP1,MS4A6A_ZAP70,ITGA2B_TREML1,ARHGAP24_TREML1
ACRBP_C2orf88,S100A8_SWAP70,PTGDR_SERPINF1,PF4_TREML1
CCL5_HOPX,GP1BA_MS4A6A,PTGDR_TMEM40,ASGR1_IGFBP7
HLA-DOB_TMEM40,H2AFY_MARCH2,GZMH_LY6G6F,LY6G6F_RAMP1
AIF1_FCGR2B,CCL3_SNCA,PLD4_TMEM40,GNG11_SEPT5
CA2_LY6G6F,CLDN5_FCGR2B,CD1C_SERPINF1,IFI30_IGSF6
LAT2_S100A12,PRR5_ZAP70,GPR56_LY6G6F,LY6G6F_TREML1
CD9_XCL1,JAKMIP1_S100A8,MAP3K7CL_TREML1,FCRL6_LY6G6F
HLA-DOB_TREML1,KLRB1_LYAR,ENHO_LY6G6F,GNG11_ITGA2B
