GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
HLA-DRB1_HLA-DRB5,CD79A_LINC00926,RPL21_RPL3,HLA-DOB_VPREB3
CD79A_LINC00926,HLA-DOB_PKIG,CST7_NKG7,FCRLA_PKIG
GNG7_KIAA0125,LINC00926_PKIG,HLA-B_HLA-C,FCRLA_LINC00926
GZMH_NKG7,CCR7_LY86,RPL23A_RPS25,FCER2_FCRLA
FCER2_FCRLA,GZMH_NKG7,RPS11_RPS27A,GNG7_KIAA0125
HLA-DQA1_HLA-DQA2,GNG7_KIAA0125,CCL5_NKG7,CDA_LY86
FCRLA_PKIG,CD79A_FCRLA,RPL10A_RPL9,LINC00926_PKIG
FCER2_KIAA0125,HLA-DRB1_HLA-DRB5,RPL21_RPS4X,KIAA0125_PNOC
BANK1_KIAA0125,GNG7_PKIG,RPL9_RPS13,FCER2_LINC00926
LINC00926_PKIG,CD72_PKIG,RPL3_RPS3,HLA-DOB_PKIG
CCR7_LY86,BANK1_KIAA0125,EAF2_IRF8,FCRLA_KIAA0125
FGFBP2_GZMH,FCER2_KIAA0125,RPL9_RPS5,PKIG_VPREB3
LGALS3_PNOC,LTB_NKG7,RPL23A_RPS27A,PKIG_TCL1A
HLA-DOB_PKIG,CST7_NKG7,B2M_HLA-A,FCRLA_TCL1A
LTB_NKG7,CD72_FCRLA,RPL23A_RPL32,CD79A_LINC00926
CD79A_HLA-DOB,FCER2_FCRLA,CD40_IRF8,FCER2_PKIG
CD72_PKIG,P2RX5_PKIG,RPL14_RPS5,LINC00926_TCL1A
CD72_FCRLA,FCRLA_PKIG,RPL36_RPS28,CD14_LY86
FCRLA_KIAA0125,FGFBP2_GZMH,RPS11_TPT1,FCER2_KIAA0125
HLA-DOB_VPREB3,CD79B_KIAA0125,EEF1A1_RPS29,FCRLA_GNG7
GZMH_GZMK,EEF1A1_LY86,RPS11_RPS20,LINC00926_VPREB3
CD79A_PKIG,FCRLA_KIAA0125,RPL5_RPS3,CD14_MS4A6A
CCL4_CD40,CD79A_PKIG,RPS14_RPS6,HLA-DOB_LINC00926
HLA-DPA1_MARCH1,BLK_KIAA0125,RPL18A_RPS4X,HLA-DOB_TCL1A
HLA-DPB1_HLA-DQA2,FGFBP2_GZMK,RPL11_RPS25,CFD_LY86
CD8A_CD8B,CCL5_NKG7,EEF1A1_RPL3,LINC00926_TSPAN13
FGFBP2_GZMK,HLA-DOB_LINC00926,IRF8_SH2D1A,FCRLA_HLA-DOB
GZMH_LTB,HLA-DRB1_LY86,IL32_RPS20,GNG7_PNOC
FCER2_PKIG,HLA-DQA1_HLA-DQA2,CD40_SH2D1A,FCER2_TCL1A
RPS28_SPIB,CFP_PKIG,RPL10A_RPL5,FCRLA_VPREB3
BLK_EAF2,CD72_KIAA0125,MALAT1_RPS3,KIAA0125_LINC00926
FCER2_HLA-DOB,BANK1_FCRLA,CD14_EAF2,CD72_FCER2
HLA-DOB_LINC00926,PDLIM1_PKIG,EAF2_ISG20,CD79A_TCL1A
CEBPD_EAF2,FCER2_PKIG,CD40_EAF2,TCL1A_VPREB3
FCER2_LINC00926,CD2_LINC00926,CD247_CD40,FCER2_GNG7
BLK_KIAA0125,CST7_LY86,CCR7_S100A8,BANK1_FCER2
CST7_NKG7,FGFBP2_LTB,CYB561A3_SPIB,CD72_LINC00926
CD40_MS4A6A,CD79A_HLA-DOB,RPL13_RPS25,CD14_CDA
CD79A_FCRLA,CD14_LY86,CCR7_CYB561A3,FCER2_HLA-DOB
LINC00926_VPREB3,CD72_LINC00926,CD14_IRF8,KIAA0125_PKIG
FGFBP2_LTB,CDA_LY86,CCL5_RPS28,FCER2_VPREB3
