GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
BLVRA_PF4,ITGA2B_KLRC1,CDA_XCL1,GP9_PRSS23
GZMB_PTCRA,FCGRT_KLRC1,KLRB1_NCR3,AP001189.4_TREML1
HLA-DPB1_HLA-DQA1,KLRC1_RAMP1,MAP3K7CL_SPARC,SPARC_TREML1
CLDN5_TSC22D1,KLRC1_LY6G6F,MAP3K7CL_TMEM40,SEPT5_XCL1
LTB_TCL1A,KLRC1_NKG7,AKR1C3_PKIG,S1PR5_TREML1
LYAR_PARVB,CST3_KLRC1,MMD_TSC22D1,CD9_SEPT5
DYNLL1_PLA2G12A,HLA-DMB_KLRC1,CDA_GPR56,S1PR5_SPARC
GZMB_MZB1,KLRC1_LINC00936,C2orf88_GZMA,GP9_RAMP1
MZB1_PTCRA,KLRC1_PRSS23,CLEC1B_KLRC1,KLRC1_NCR3
CLDN5_JAKMIP1,CCL5_KLRC1,AC147651.3_NCR3,RP11-367G6.3_TREML1
FOLR3_JAKMIP1,CYBA_KLRC1,LY6G6F_XCL2,PKIG_S1PR5
AIF1_IRF8,KLRC1_XCL2,FOLR3_JAKMIP1,AP001189.4_PKIG
ARPC1B_CCL4,KLRC1_NPC2,LY6G6F_XCL1,AP001189.4_S1PR5
EAF2_LYAR,FCN1_KLRC1,KLRB1_KLRC1,RAMP1_XCL2
FCN1_FPR1,GRN_KLRC1,AP001189.4_RAMP1,AP001189.4_RP11-367G6.3
JAKMIP1_TSC22D1,AIF1_KLRC1,AC147651.3_CLEC1B,CMTM5_GP1BA
CD79B_FCRLA,JAKMIP1_KLRC1,F13A1_GPR56,PRSS23_XCL2
LGALS3_S100A11,IFITM3_KLRC1,CDA_LY6G6F,RP11-367G6.3_S1PR5
MMD_PLA2G12A,GPR56_KLRC1,CMTM5_GPR56,MYL9_RP11-367G6.3
PTGS1_SDPR,GSTP1_KLRC1,C2orf88_KIAA0125,ITGA2B_RP11-367G6.3
CD1C_IGLL5,AP001189.4_KLRC1,GP1BA_GPR56,PKIG_RP11-367G6.3
GP1BA_PRR5,KLRC1_PKIG,FGFBP2_ITGA2B,RP11-367G6.3_SPARC
AC147651.3_KLRC1,KLRC1_TREML1,CMTM5_SEPT5,AP001189.4_ITGA2B
EFHD2_SWAP70,HLA-DRB1_KLRC1,SEPT5_XCL1,MYL9_S1PR5
IL1B_SPON2,GP9_KLRC1,CD9_XCL1,PKIG_SPARC
IRF8_PTCRA,KLRC1_SEPT5,PKIG_TREML1,GNG11_LY6G6F
AC147651.3_KLRB1,CD9_KLRC1,GP9_TREML1,MYL9_PKIG
BLVRA_CD79B,KLRC1_MAP3K7CL,LINC00926_MAP3K7CL,LINC00926_SPARC
CCL5_CD19,KLRC1_XCL1,FCRLA_GP9,LINC00926_S1PR5
CLIC3_GZMB,IFI30_KLRC1,MYL9_PKIG,GPR56_SEPT5
LINC00936_MAFB,KLRC1_LINC00926,ITGA2B_MAP3K7CL,LINC00926_TREML1
COTL1_PTCRA,GNG11_KLRC1,ARHGAP24_C2orf88,CD9_GPR56
GSTP1_IL32,H2AFY_KLRC1,CDA_ITGA2B,GPR56_XCL1
