GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
XCL1_XCL2,XCL1_XCL2,EAF2_GP1BA,CLU_ITGA2B
CLDN5_PTCRA,FCER1G_UBB,CLDN5_PTCRA,IFI30_PHACTR1
F13A1_PTGS1,GZMB_PRF1,FCGR2B_FOLR3,ARHGAP24_PPBP
CMTM5_F13A1,GZMB_NKG7,FCGR2B_SPIB,SPARC_TMEM40
FCGR2B_SPIB,NKG7_PTPRCAP,CEBPB_IGSF6,AC147651.3_GAS2L1
CLDN5_SPIB,NKG7_PRF1,BLNK_CD19,CLDN5_PTCRA
SNCA_TUBB1,CCL4_GZMB,CLEC1B_GAS2L1,BLNK_CD19
HVCN1_TNFSF13B,FCER1G_PTPRCAP,CMTM5_PTGS1,AC147651.3_CLEC1B
CLDN5_FCGR2B,FGFBP2_GZMB,PKIG_SERPINF1,FCGR2B_SPIB
EAF2_GP1BA,GZMA_UBB,AC147651.3_GAS2L1,CLU_GP9
CST3_MS4A6A,CD72_MZB1,FPR1_SEPT5,CMTM5_F13A1
BLNK_CD19,IGLL5_MYL9,EAF2_F13A1,CLEC1B_GAS2L1
IFI30_PHACTR1,ARHGAP24_CD72,IFI30_LY6G6F,GP9_ITGA2B
CMTM5_PTGS1,MYL9_RP11-367G6.3,ALDH2_LY6G6F,CLU_TMEM40
FCER1A_FCRLA,IGLL5_RP11-367G6.3,CLDN5_FCGR2B,CA2_IFI30
AC147651.3_GAS2L1,AP001189.4_PKIG,PTCRA_SPIB,FPR1_IFI30
BLNK_C2orf88,AP001189.4_SERPINF1,AC147651.3_CLEC1B,CA2_ENHO
FCGR2B_FOLR3,CD247_PRF1,CMTM5_F13A1,FPR1_PHACTR1
AC147651.3_CLEC1B,PKIG_SERPINF1,MAFB_PHACTR1,CA2_PHACTR1
FCGR2B_PTCRA,CD72_PPBP,IFI30_PHACTR1,LY6G6F_SEPT5
ACRBP_GAS2L1,ARHGAP24_PPBP,PLD4_SPARC,FCGR2B_FOLR3
GP1BA_TUBB1,CD79B_KIAA0125,GP1BA_PTGS1,ITGA2B_TMEM40
IFI30_LY6G6F,ARHGAP24_MZB1,GP9_ITGA2B,PF4_PPBP
ACRBP_CD19,ODC1_TPM1,CST3_MS4A6A,AP001189.4_PPBP
C2orf88_CD19,AP001189.4_NCOA4,BLNK_C2orf88,AP001189.4_ARHGAP24
CLEC1B_GAS2L1,ARHGAP24_FCRLA,ENHO_GP9,CMTM5_GP1BA
CD2_KIAA0125,MYL9_PF4,LY6G6F_PHACTR1,ACRBP_C2orf88
IGSF6_SEPT5,KIAA0125_ODC1,ITGA2B_SPARC,ARHGAP24_PF4
ACRBP_BLNK,KIAA0125_TPM1,SPARC_TMEM40,CLU_SPARC
IGSF6_P2RX5,BLNK_CD19,CD9_FPR1,ITGA2B_SPARC
HINT1_RGS18,IGLL5_PF4,CLU_ITGA2B,FOLR3_SPIB
ACRBP_CLEC1B,FCRLA_P2RX5,SNCA_TUBB1,GP9_TMEM40
FPR1_SEPT5,BLNK_ODC1,ENHO_ITGA2B,KIAA0125_PNOC
PKIG_TREML1,CD19_ODC1,CMTM5_GP1BA,CLEC10A_SERPINF1
NRGN_TUBB1,CD79B_TPM1,CLU_GP9,GP9_SPARC
FCGRT_PLD4,PF4_RP11-367G6.3,MAP3K7CL_SPARC,F13A1_GP1BA
EAF2_TUBB1,BLNK_KIAA0125,FCGR2B_PTCRA,GP9_LY6G6F
JAKMIP1_PTCRA,CD19_KIAA0125,CLU_ENHO,ENHO_IFI30
CLDN5_FOLR3,CD79B_ODC1,AC147651.3_SPIB,GP1BA_TUBB1
AC147651.3_ACRBP,BLNK_CD79B,ACRBP_GAS2L1,CLEC10A_ENHO
CEBPB_P2RX5,CD19_CD79B,ALDH2_PHACTR1,CA2_FPR1
CA2_ENHO,MZB1_PPBP,GNG11_LY6G6F,ENHO_PHACTR1
PTCRA_SPIB,P2RX5_PPBP,GNG11_IFI30,AP001189.4_SPARC
FOLR3_SPIB,FCRLA_PPBP,C5AR1_PTGS1,AP001189.4_TCL1A
AP001189.4_SERPINF1,GZMA_PTPRCAP,IGSF6_SEPT5,ACRBP_GAS2L1
ALDH2_PHACTR1,HLA-DOB_PARVB,NCF2_SEPT5,FPR1_IGSF6
PLD4_SPARC,CST7_GNLY,CA2_IFI30,CLU_LY6G6F
HLA-DMB_PTGS1,CD1C_PARVB,C2orf88_CD19,FPR1_PTGS1
MS4A6A_TUBB1,FGL2_MAFB,ACRBP_CLEC1B,F13A1_SEPT5
CMTM5_GP1BA,CD79A_TCL1A,CD19_GAS2L1,ITGA2B_LY6G6F
EAF2_F13A1,BLNK_TPM1,ARHGAP24_PF4,AC147651.3_ACRBP
DYNLL1_TPM1,CD19_TPM1,JAKMIP1_PTCRA,APOBEC3A_FPR1
CD9_IFI30,ACRBP_HIST1H2AC,ALDH2_FPR1,AP001189.4_TMEM40
FGFBP2_GZMK,FGFBP2_PRF1,FOLR3_TUBB1,IL1B_PTGS1
C5orf56_IL1B,MYL9_SNX29P2,AC147651.3_BLNK,AP001189.4_PF4
CLU_ENHO,CD1C_SPARC,RGS18_TUBB1,IGSF6_PHACTR1
ACRBP_C2orf88,PRF1_SPON2,MAL_PTCRA,APOBEC3A_PHACTR1
LY6G6F_PHACTR1,HVCN1_P2RX5,LY6G6F_SEPT5,APOBEC3A_IFI30
C1orf162_MZB1,CD72_P2RX5,F13A1_PTGS1,IFI30_IGSF6
CDA_MYL9,CD72_FCRLA,ACRBP_C2orf88,PPBP_TCL1A
JAKMIP1_SPIB,CA2_GYG1,EAF2_TUBB1,ARHGAP24_TCL1A
CEBPB_IGSF6,MYL9_S1PR5,C2orf88_PF4,FPR1_PLBD1
F13A1_GP1BA,IGLL5_SNX29P2,AP001189.4_ARHGAP24,GP9_SEPT5
MMD_TSC22D1,RP11-367G6.3_SNX29P2,GP9_SPARC,ACRBP_CLEC1B
ARPC1B_TCL1A,CD247_GIMAP7,ALDH2_SEPT5,LGALS2_PTGS1
MMD_SPIB,FGFBP2_NKG7,ALDH2_IFI30,LINC00926_PPBP
AKR1C3_TPM4,ARHGAP24_P2RX5,CLEC10A_CLU,ARHGAP24_LINC00926
CCL3_PLD4,LINC00926_MS4A1,GSTP1_LINC00926,CA2_CLEC10A
ENHO_GP9,CD1C_HLA-DOB,ACRBP_CD19,ENHO_FPR1
FGFBP2_LGALS2,P2RX5_PF4,S100A12_SPIB,ARHGAP24_PKIG
ARPC5L_CD1C,RP11-367G6.3_S1PR5,AP001189.4_SERPINF1,PKIG_PPBP
SPARC_TMEM40,HVCN1_PF4,MZB1_PPBP,AP001189.4_PKIG
PLD4_TMEM40,HOPX_XCL2,BLVRA_GP9,PKIG_TREML1
PARVB_SNX29P2,H2AFY_ITGA2B,PLD4_TMEM40,CMTM5_SEPT5
ARHGAP24_PF4,CD1C_PLD4,LGALS2_PTGS1,LINC00926_PF4
HINT1_PKIG,MAP3K7CL_TMEM40,AC147651.3_ACRBP,CMTM5_TUBB1
C9orf142_SWAP70,S1PR5_SNX29P2,CLU_TMEM40,IFI30_PLBD1
C5AR1_F13A1,HLA-DOB_SPARC,PKIG_PPBP,CA2_IGSF6
LGALS1_P2RX5,PARVB_SPARC,XCL1_XCL2,PHACTR1_PLBD1
NKG7_PRF1,IGLL5_S1PR5,GNG11_PHACTR1,AP001189.4_CLU
HOPX_MZB1,CLEC10A_HLA-DOB,CLEC10A_TMEM40,CLU_SEPT5
C9orf142_PNOC,KIAA0125_PNOC,FCER1A_TMEM40,PHACTR1_PTGS1
PKIG_SERPINF1,CLEC10A_PARVB,HLA-DMB_PTGS1,AP001189.4_ITGA2B
ARHGAP24_PPBP,CD247_FCGR3A,CLDN5_SPIB,ITGA2B_SEPT5
S100A11_SDPR,BLNK_PNOC,JAKMIP1_TUBB1,PPBP_SPARC
S100A12_SPIB,CD19_PNOC,ENHO_TMEM40,IFI30_PTGS1
C5AR1_CMTM5,PF4_SNX29P2,IFI30_SEPT5,ARHGAP24_SPARC
ARHGAP24_SERPINF1,MYL9_P2RX5,ADAM28_CMTM5,LY6G6F_TMEM40
MAP3K7CL_SPARC,ARPC1B_S100A6,NRGN_TUBB1,C2orf88_GAS2L1
HINT1_PNOC,CD79B_PNOC,CD9_SEPT5,F13A1_LY6G6F
EAF2_PTGS1,HVCN1_MYL9,AC147651.3_CLDN5,PKIG_TCL1A
CLEC1B_PTCRA,P2RX5_RP11-367G6.3,ITGA2B_TMEM40,AP001189.4_LINC00926
ENHO_ITGA2B,IGLL5_P2RX5,PTGS1_TUBB1,APOBEC3A_PTGS1
CD19_GAS2L1,PARVB_PLD4,AP001189.4_PPBP,ENHO_SERPINF1
APOBEC3A_IFI30,PLD4_SPARC,C9orf142_PKIG,APOBEC3A_CA2
CD9_PHACTR1,COTL1_H2AFY,AC147651.3_PTCRA,LY6G6F_SPARC
PNOC_SWAP70,HVCN1_RP11-367G6.3,ENHO_SPARC,ARHGAP24_CD79A
MAL_PTCRA,HVCN1_IGLL5,CLEC10A_SPARC,CLEC1B_PTCRA
CD9_JAKMIP1,FCRLA_HVCN1,CD9_IFI30,CD79A_PPBP
HINT1_KIAA0125,CD1C_CLEC10A,LINC00926_PPBP,ARHGAP24_TMEM40
