GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
FCGR2B_JAKMIP1,FCN1_LGALS3,LINC00926_MZB1,MZB1_SERPINF1
CLEC1B_KLRC1,FCGRT_FCN1,CD72_MZB1,CD72_PTGDR
AC147651.3_KLRC1,ASGR1_PLBD1,LINC00926_P2RX5,P2RX5_RP11-367G6.3
FOLR3_JAKMIP1,NCF2_SRGN,CLDN5_JAKMIP1,LY6G6F_XCL1
CLDN5_JAKMIP1,GP1BA_ZAP70,PLEKHF1_SERPINF1,FCER1A_SERPINF1
MAP3K7CL_TUBB1,GP1BA_IRF8,CLIC3_FCER1A,FCER1A_MZB1
GPR56_XCL1,IL1B_LGALS2,PKIG_PTGDR,CD72_P2RX5
P2RX5_RP11-367G6.3,NRGN_ZAP70,FOLR3_JAKMIP1,ADAM28_XCL1
GZMH_PRSS23,CD247_SNCA,MZB1_P2RX5,LY6G6F_PTGDR
AC147651.3_CLEC1B,IRF8_ZAP70,AC147651.3_KLRC1,CD72_PLEKHF1
LY6G6F_XCL1,IL32_NRGN,CLEC1B_KLRC1,CD1C_FCER1A
CMTM5_GP1BA,FOLR3_PGRMC1,CLIC3_SERPINF1,CD72_LINC00926
LINC00926_MZB1,GP1BA_MS4A6A,CD72_SERPINF1,P2RX5_PTGDR
PKIG_SERPINF1,CMTM5_F13A1,F13A1_GP1BA,LINC00926_P2RX5
CLIC3_PTGDR,MS4A6A_NRGN,P2RX5_SERPINF1,CD72_RP11-367G6.3
MARCH2_PRSS23,MS4A6A_ZAP70,FCER1A_PTGDR,P2RX5_PLEKHF1
FCRLA_P2RX5,GPR56_IGFBP7,FCRLA_MZB1,F13A1_SEPT5
GNG11_TUBB1,IFITM3_TYMP,BLNK_CD160,ADAM28_LY6G6F
PKIG_XCL2,GPR56_SEPT5,AC147651.3_CLEC1B,CD160_KLRC1
CLIC3_FCER1A,MS4A6A_RGS18,KLRB1_KLRC1,CD72_LY6G6F
BLNK_CD160,ADAM28_HAVCR2,CMTM5_GP1BA,CD1C_SERPINF1
PTGDR_SERPINF1,GP1BA_IL32,LY6G6F_XCL1,LY6G6F_XCL2
PHACTR1_RAMP1,IL32_ZAP70,PTGDR_SERPINF1,PLEKHF1_RP11-367G6.3
KLRB1_KLRC1,HLA-DPB1_HLA-DRB1,CD72_PTGDR,PTGDR_XCL1
AC147651.3_CD160,GPR56_TIGIT,PLEKHF1_PTGDR,CD1C_MZB1
CD160_KLRC1,HLA-DPB1_LGALS2,LINC00926_SERPINF1,PLEKHF1_PTGDR
FCRL6_XCL1,FOLR3_S100A8,FCER1A_LY6G6F,ADAM28_GP1BA
SDPR_SPARC,RGS18_ZAP70,GZMH_LY6G6F,LINC00926_PTGDR
F13A1_GP1BA,CD247_TUBB1,CLIC3_PTGDR,LINC00926_RP11-367G6.3
CST3_FCGR2B,IL32_IRF8,AKR1C3_LY6G6F,AKR1C3_LY6G6F
GZMH_XCL1,APOBEC3A_CD37,GPR56_XCL1,PTGDR_RP11-367G6.3
HOPX_SPIB,IRF8_NRGN,AC147651.3_CD160,XCL1_XCL2
LINC00926_SERPINF1,F13A1_PTGS1,PLEKHF1_RP11-367G6.3,TIGIT_XCL1
AKR1C3_LY6G6F,FCGR2B_SPIB,CD160_CLEC1B,PTGDR_XCL2
CMTM5_CST3,LDLRAP1_TSC22D1,CD247_GP1BA,ADAM28_CMTM5
LINC00926_P2RX5,IL32_SNCA,MZB1_PTGDR,CD72_XCL1
MZB1_SERPINF1,LAT2_PTCRA,IGLL5_RP11-367G6.3,PRSS23_PTGDR
GPR56_LY6G6F,CD247_ZAP70,AKR1C3_FCER1A,AKR1C3_XCL1
PKIG_PTGDR,IRF8_MS4A6A,FCRL6_XCL1,AKR1C3_PTGDR
PLEKHF1_SERPINF1,CLIC3_GSN,FCGR2B_JAKMIP1,AKR1C3_CD72
SPARC_TREML1,IRF8_RGS18,PKIG_SERPINF1,GP9_ITGA2B
MZB1_P2RX5,IGSF6_TYMP,FCRLA_P2RX5,FCRL6_LY6G6F
CA2_CMTM5,CD2_S100A12,AQP3_KLRC1,LY6G6F_TIGIT
AQP3_KLRC1,LYAR_S100A12,MZB1_RP11-367G6.3,LY6G6F_PRSS23
CD72_MZB1,CMTM5_PTGS1,ADAM28_GP1BA,FCRL6_PTGDR
FCRL6_LY6G6F,FOLR3_MMD,GPR56_LY6G6F,LY6G6F_P2RX5
CD72_SERPINF1,KLRB1_LYAR,CD72_P2RX5,PLEKHF1_PRSS23
KLRB1_MAL,FCGR2B_JAKMIP1,RAMP1_XCL1,CD72_XCL2
FCER1A_PTGDR,ACRBP_HIST1H2AC,GZMH_PRSS23,CD72_PRSS23
CD247_GP1BA,IRF8_SNCA,CLIC3_KLRB1,AKR1C3_PLEKHF1
IFITM3_PNOC,LDLRAP1_PTCRA,GAS2L1_KLRC1,AKR1C3_PRSS23
ADAM28_CST3,FGL2_IGSF6,ADAM28_XCL1,LY6G6F_PLEKHF1
CD72_P2RX5,IL32_RGS18,C5orf56_KLRB1,AQP3_CLEC1B
CST3_FCN1,FCGR2B_SWAP70,MZB1_SERPINF1,ITGA2B_LY6G6F
AQP3_CLEC1B,SNCA_ZAP70,AQP3_CLEC1B,LINC00926_PLEKHF1
ADAM28_GP1BA,HLA-DPB1_HLA-DQB1,GZMH_XCL1,ADAM28_PTGDR
MZB1_RP11-367G6.3,LAT2_TSC22D1,MARCH2_PRSS23,GP1BA_JAKMIP1
LGALS3_SPIB,HLA-DPA1_HLA-DRB1,F13A1_XCL1,ITGA2B_PTGDR
SEPT5_XCL1,CD9_LY6G6F,CD160_KLRC1,PRSS23_XCL1
HIST1H2AC_TSC22D1,IGSF6_TNFSF13B,FCRLA_RP11-367G6.3,ITGA2B_XCL1
LYAR_MAL,GP1BA_SNCA,CD1C_FCER1A,FCRL6_XCL1
AQP3_NCR3,CD247_IL32,FCRL6_LY6G6F,LY6G6F_RAMP1
